


S	1.735	1	118.6	1	94.5	1	278	275	274
B	1.749	1	105.7	1	35	1	279	278	275
C	1.644	1	96.8	1	37.9	1	279	278	272
C	1.68	1	111.8	1	4	1	279	278	275
O	1.702	1	104.1	1	20.8	1	272	271	148
S	1.761	1	125.8	1	99	1	283	272	271
C	1.671	1	122.7	1	73.9	1	284	283	272
C	1.693	1	114.5	1	73.2	1	284	283	148
O	1.646	1	3.2	1	75.6	1	284	283	272
S	1.722	1	119.7	1	62.1	1	287	284	283
B	1.383	1	124.3	1	119.2	1	288	287	284
C	1.716	1	109.1	1	77.1	1	288	287	272
B	1.747	1	101.5	1	13.7	1	288	287	284
O	1.715	1	101.5	1	33.1	1	145	144	133
S	1.702	1	161.9	1	77.1	1	292	145	144
C	1.626	1	108.6	1	37.6	1	293	292	145
O	1.694	1	104.9	1	171.2	1	293	292	133
S	1.666	1	154.5	1	125	1	295	293	292
B	1.442	1	105.4	1	60	1	296	295	293
C	1.63	1	107.6	1	104.5	1	296	295	133
B	1.732	1	105.5	1	59.6	1	296	295	293
O	1.739	1	116.4	1	148	1	293	292	145
S	1.726	1	128	1	93.5	1	300	293	292
B	1.682	1	100.7	1	149.8	1	301	300	293
C	1.664	1	109.1	1	18.1	1	301	300	145
C	1.67	1	105.5	1	13.9	1	301	300	293
O	1.618	1	108.3	1	41.4	1	10	9	1
S	1.688	1	163.9	1	56.8	1	305	10	9
B	1.742	1	107.8	1	179.5	1	306	305	10
C	1.338	1	109.8	1	9.5	1	306	305	1
O	1.642	1	117.9	1	24.9	1	306	305	10
S	1.388	1	111.4	1	73.6	1	309	306	305
B	1.629	1	103.6	1	86	1	310	309	306
O	1.674	1	106.1	1	127.7	1	310	309	10
S	1.646	1	146.3	1	99.5	1	312	310	309
C	1.668	1	118.7	1	39.2	1	313	312	310
C	1.656	1	117.5	1	97.1	1	313	312	10
O	1.68	1	105.1	1	114	1	313	312	310
S	1.644	1	28	1	113.3	1	316	313	312
C	1.755	1	101	1	130.8	1	317	316	313
O	1.662	1	105	1	151.1	1	317	316	310
S	1.657	1	150.7	1	96	1	319	317	316
B	1.641	1	111.8	1	61.5	1	320	319	317
B	1.654	1	109.4	1	33.4	1	320	319	310
